t,frac_C,frac_D,frac_L,avg_res,CC_ratio,CD_ratio,DD_ratio,CL_ratio,DL_ratio,LL_ratio,C_perimeter,D_perimeter,L_perimeter,C_perimeter_ratio,D_perimeter_ratio,L_perimeter_ratio
1,0.2784,0.7216,0.0,11.61632,0.0952,0.3664,0.5384,0.0,0.0,0.0,1832,1832,0,0.3664,0.3664,0.0
2,0.2004,0.7996,0.0,12.1696,0.0674,0.266,0.6666,0.0,0.0,0.0,1330,1330,0,0.266,0.266,0.0
3,0.1728,0.8272,0.0,12.2904,0.0562,0.2332,0.7106,0.0,0.0,0.0,1166,1166,0,0.2332,0.2332,0.0
4,0.156,0.844,0.0,12.261439999999999,0.0566,0.1988,0.7446,0.0,0.0,0.0,994,994,0,0.1988,0.1988,0.0
5,0.1444,0.8556,0.0,12.124,0.0536,0.1816,0.7648,0.0,0.0,0.0,908,908,0,0.1816,0.1816,0.0
6,0.1332,0.8668,0.0,11.91952,0.045,0.1764,0.7786,0.0,0.0,0.0,882,882,0,0.1764,0.1764,0.0
7,0.1132,0.8868,0.0,11.664,0.042,0.1424,0.8156,0.0,0.0,0.0,712,712,0,0.1424,0.1424,0.0
8,0.1076,0.8924,0.0,11.28768,0.0436,0.128,0.8284,0.0,0.0,0.0,640,640,0,0.128,0.128,0.0
9,0.1144,0.8856,0.0,10.87168,0.051,0.1268,0.8222,0.0,0.0,0.0,634,634,0,0.1268,0.1268,0.0
10,0.1232,0.8768,0.0,10.48144,0.0594,0.1276,0.813,0.0,0.0,0.0,638,638,0,0.1276,0.1276,0.0
11,0.1256,0.8616,0.0128,10.136959999999998,0.062,0.127,0.7878,0.0002,0.0206,0.0024,636,738,104,0.1272,0.1476,0.0208
12,0.126,0.8108,0.0632,9.82192,0.0662,0.1182,0.7126,0.0014,0.0782,0.0234,598,982,398,0.1196,0.1964,0.0796
13,0.1268,0.7368,0.1364,9.54856,0.0672,0.1174,0.6134,0.0018,0.1294,0.0708,596,1234,656,0.1192,0.2468,0.1312
14,0.1276,0.6408,0.2316,9.36048,0.069,0.1132,0.4986,0.004,0.1712,0.144,586,1422,876,0.1172,0.2844,0.1752
15,0.132,0.5392,0.3288,9.24952,0.0766,0.1032,0.3948,0.0076,0.1856,0.2322,554,1444,966,0.1108,0.2888,0.1932
16,0.1296,0.4616,0.4088,9.2316,0.0778,0.094,0.3184,0.0096,0.1924,0.3078,518,1432,1010,0.1036,0.2864,0.202
17,0.1356,0.3736,0.4908,9.27168,0.0834,0.0928,0.2364,0.0116,0.1816,0.3942,522,1372,966,0.1044,0.2744,0.1932
18,0.1484,0.3104,0.5412,9.40544,0.0974,0.0878,0.1896,0.0142,0.1538,0.4572,510,1208,840,0.102,0.2416,0.168
19,0.1572,0.272,0.5708,9.6264,0.1038,0.0914,0.162,0.0154,0.1286,0.4988,534,1100,720,0.1068,0.22,0.144
20,0.1664,0.2484,0.5852,9.9136,0.1102,0.0932,0.1476,0.0192,0.1084,0.5214,562,1008,638,0.1124,0.2016,0.1276
21,0.1808,0.2344,0.5848,10.24576,0.1254,0.0876,0.1412,0.0232,0.0988,0.5238,554,932,610,0.1108,0.1864,0.122
22,0.204,0.2172,0.5788,10.620640000000002,0.1378,0.103,0.1256,0.0294,0.0802,0.524,662,916,548,0.1324,0.1832,0.1096
23,0.218,0.2208,0.5612,11.083744,0.1514,0.1028,0.1276,0.0304,0.0836,0.5042,666,932,570,0.1332,0.1864,0.114
24,0.2308,0.2224,0.5468,11.5829856,0.1616,0.1036,0.1324,0.0348,0.0764,0.4912,692,900,556,0.1384,0.18,0.1112
25,0.2472,0.2336,0.5192,12.11114304,0.1718,0.1132,0.1408,0.0376,0.0724,0.4642,754,928,550,0.1508,0.1856,0.11
26,0.2732,0.2332,0.4936,12.685100736,0.1936,0.1156,0.1396,0.0436,0.0716,0.436,796,936,576,0.1592,0.1872,0.1152
27,0.2996,0.238,0.4624,13.324838662400001,0.2164,0.1232,0.141,0.0432,0.0708,0.4054,832,970,570,0.1664,0.194,0.114
28,0.308,0.2648,0.4272,14.047546796159999,0.2204,0.1348,0.1622,0.0404,0.0704,0.3718,876,1026,554,0.1752,0.2052,0.1108
29,0.3304,0.27,0.3996,14.788008116544,0.237,0.1442,0.1666,0.0426,0.0626,0.347,934,1034,526,0.1868,0.2068,0.1052
30,0.3496,0.2776,0.3728,15.595727304889602,0.2522,0.1516,0.1706,0.0432,0.0624,0.32,974,1070,528,0.1948,0.214,0.1056
